District,Date(D_M_YYYY),Time(Hour_of_a_day),Temperature(Celsius),Humidity(Percentage),WindSpeed(KM/H),Precipitation(Millimeters),AtmosphericPressure(Millibars),PM10(ug/m3),NO2(ug/m3),SO2(ug/m3),CO(ug/m3),O3(ug/m3),AQI(Index/Level),PM2_5(ug/m3)
Bang Bon,6/2/2025,0:00,25.7,81,16.9,0,1010,92.35,11.31,5.42,787.74,88.69,4,66.1
Bang Bon,6/2/2025,1:00,25.4,81,13.7,0,1009,88.42,10.88,5.19,774.38,81.54,4,62.93
Bang Bon,6/2/2025,2:00,25.3,82,12.2,0,1009,83.15,10.97,4.23,774.38,65.09,4,57.8
Bang Bon,6/2/2025,3:00,25.2,83,12.2,0,1008,82.74,11.82,3.46,801.09,48.64,4,55.62
Bang Bon,6/2/2025,4:00,25.1,85,11.5,0,1008,86.98,12.85,3.49,827.79,37.55,4,55
Bang Bon,6/2/2025,5:00,25.1,83,9.7,0.06,1008,94.36,13.88,3.93,867.84,28.97,4,55.84
Bang Bon,6/2/2025,6:00,25.1,83,7.9,0.06,1009,103.56,16.45,4.47,947.95,18.6,4,58.05
Bang Bon,6/2/2025,7:00,25.2,83,6.5,0,1010,118.78,24.33,6.44,1161.58,6.8,4,64.43
Bang Bon,6/2/2025,8:00,26.4,76,6.5,0,1011,148.19,40.1,14.54,1815.8,1.05,5,84.43
Bang Bon,6/2/2025,9:00,27.8,68,9,0,1012,196.79,58.26,26.46,3044.13,4.56,5,120.71
Bang Bon,6/2/2025,10:00,28.7,64,11.9,0,1012,228.4,93.22,30.99,3845.22,26.82,5,143.7
Bang Bon,6/2/2025,11:00,29.1,62,13.7,0,1011,126.49,39.41,27.66,1522.06,141.62,5,77.38
Bang Bon,6/2/2025,12:00,29.4,59,13.3,0,1010,82.62,8.91,12.04,894.55,178.81,4,57.3
Bang Bon,6/2/2025,13:00,29.6,58,15.5,0,1009,71.66,4.54,8.7,754.36,178.81,4,52.87
Bang Bon,6/2/2025,14:00,29.6,58,17.3,0,1008,63.07,3.43,6.56,667.57,165.94,4,46.97
Bang Bon,6/2/2025,15:00,29.5,59,19.8,0,1007,56.15,3.17,5.13,607.49,148.77,4,41
Bang Bon,6/2/2025,16:00,29.1,61,19.8,0,1006,51.71,3.38,4.65,580.79,137.33,3,37.29
Bang Bon,6/2/2025,17:00,28.5,64,20.2,0,1006,56.43,7.71,5.72,654.22,115.87,3,36.15
Bang Bon,6/2/2025,18:00,27.4,73,19.4,0,1007,64.28,15.42,7.57,781.06,78.68,3,33.95
Bang Bon,6/2/2025,19:00,26.5,79,22.3,0,1008,65.51,19.36,7.75,834.47,48.64,3,29.71
Bang Bon,6/2/2025,20:00,26.3,81,23.4,0,1008,63.75,19.88,7.57,821.11,35.76,3,27.41
Bang Bon,6/2/2025,21:00,26.2,81,24.1,0,1009,61.23,17.82,7.03,774.38,33.26,3,26.67
Bang Bon,6/2/2025,22:00,26.2,80,22.3,0,1009,57.57,14.57,6.02,700.95,33.26,3,25.66
Bang Bon,6/2/2025,23:00,26.1,80,20.9,0,1009,53.49,11.82,5.01,634.19,33.26,3,24.63
Bang Bon,5/2/2025,0:00,25.5,82,16.6,0,1010,214.69,37.36,8.94,2216.34,14.66,5,134.88
Bang Bon,5/2/2025,1:00,25.2,81,13.7,0,1010,204.75,32.56,6.68,2029.42,12.52,5,131.38
Bang Bon,5/2/2025,2:00,25.1,81,9.7,0,1010,190.74,28.79,5.48,1842.5,11.09,5,124.77
Bang Bon,5/2/2025,3:00,24.9,81,7.9,0,1009,180.21,26.73,5.07,1682.28,8.85,5,117.97
Bang Bon,5/2/2025,4:00,25,81,8.6,0,1009,180.93,30.16,5.36,1708.98,4.02,5,117.71
Bang Bon,5/2/2025,5:00,25,82,9.4,0,1009,193.69,39.41,7.45,2056.12,0.31,5,126.6
Bang Bon,5/2/2025,6:00,25,83,8.6,0,1010,216.83,51.41,11.21,2616.88,0,5,143.83
Bang Bon,5/2/2025,7:00,25,84,8.6,0,1010,249.68,68.55,18.84,3391.27,0,5,167.63
Bang Bon,5/2/2025,8:00,26.3,77,9.7,0,1011,297.18,101.45,50.55,4432.68,0.83,5,195.39
Bang Bon,5/2/2025,9:00,27.5,70,13.7,0,1012,345.95,139.83,82.97,5340.58,7.6,5,223.72
Bang Bon,5/2/2025,10:00,28.2,66,17.6,0,1013,414.87,213.86,106.81,5928.04,62.23,5,283.44
Bang Bon,5/2/2025,11:00,28.7,60,15.8,0,1012,252.52,82.25,60.56,2670.29,220.3,5,195.73
Bang Bon,5/2/2025,12:00,29.2,53,15.1,0,1011,190.55,25.36,35.76,1708.98,274.66,5,156.44
Bang Bon,5/2/2025,13:00,29.4,51,15.1,0,1010,180.05,13.37,32.42,1508.71,300.41,5,148.85
Bang Bon,5/2/2025,14:00,29.4,52,14,0,1009,168.34,9.94,29.33,1401.9,300.41,5,135.83
Bang Bon,5/2/2025,15:00,29.6,53,14.4,0,1007,161.12,9.25,24.56,1308.44,286.1,5,125.39
Bang Bon,5/2/2025,16:00,29.6,53,13.7,0,1007,150.05,9.51,19.79,1201.63,257.49,5,112.47
Bang Bon,5/2/2025,17:00,29.2,54,13.7,0,1007,136.64,11.82,15.5,1108.17,211.72,5,96.72
Bang Bon,5/2/2025,18:00,28,62,13.7,0,1007,125.89,16.97,12.52,1068.12,148.77,5,81.64
Bang Bon,5/2/2025,19:00,26.8,72,16.6,0,1008,119.85,20.39,11.09,1054.76,110.15,4,74.36
Bang Bon,5/2/2025,20:00,26.3,80,21.6,0,1008,113.15,20.22,10.37,1028.06,92.98,4,70.7
Bang Bon,5/2/2025,21:00,26.1,82,23,0,1009,101.98,17.31,8.82,934.6,87.98,4,64.15
Bang Bon,5/2/2025,22:00,26,81,22.3,0,1009,94.69,14.05,6.97,834.47,88.69,4,61.48
Bang Bon,5/2/2025,23:00,25.8,81,18.7,0,1009,93.29,12.17,5.84,787.74,90.12,4,64.23
Bang Bon,4/2/2025,0:00,25.7,76,18.4,0,1010,109.46,25.36,5.9,1134.87,5.5,4,62.02
Bang Bon,4/2/2025,1:00,25.9,78,17.6,0,1009,101.1,21.94,5.01,1041.41,8.05,4,58.73
Bang Bon,4/2/2025,2:00,25.6,79,17.3,0,1009,88.44,16.45,4.71,881.2,14.66,4,52.47
Bang Bon,4/2/2025,3:00,25.5,81,16.2,0,1009,77.32,13.54,4.71,761.03,19.13,3,46.78
Bang Bon,4/2/2025,4:00,25.3,83,15.8,0,1009,70.07,12.68,5.31,667.57,24.68,3,42.13
Bang Bon,4/2/2025,5:00,25.2,83,15.1,0,1009,68.97,14.22,6.68,647.54,26.46,3,39.68
Bang Bon,4/2/2025,6:00,25.1,84,12.6,0,1010,75.78,20.91,8.7,747.68,17.88,3,42.44
Bang Bon,4/2/2025,7:00,25.1,85,11.2,0,1011,94.75,37.36,15.5,1121.52,3.84,4,54.78
Bang Bon,4/2/2025,8:00,26.3,77,14,0,1013,155.55,58.95,39.58,2349.85,0.49,5,96.34
Bang Bon,4/2/2025,9:00,27.2,70,15.8,0.01,1014,238.36,80.88,70.57,4112.24,2.24,5,150.23
Bang Bon,4/2/2025,10:00,27.8,65,15.1,0.01,1014,271.03,109.67,87.74,5126.95,5.68,5,169.44
Bang Bon,4/2/2025,11:00,28.3,59,15.1,0,1014,157.78,101.45,55.31,2857.21,43.63,5,105.47
Bang Bon,4/2/2025,12:00,28.5,54,14.8,0,1013,124.57,70.6,42.44,2029.42,107.29,5,89.75
Bang Bon,4/2/2025,13:00,28.7,51,13,0,1012,132.98,44.55,41.49,1708.98,191.69,5,101.91
Bang Bon,4/2/2025,14:00,29.5,46,11.2,0,1010,132.09,21.08,35.29,1428.6,251.77,5,103.66
Bang Bon,4/2/2025,15:00,30,43,10.1,0,1009,117.44,14.22,29.33,1241.68,246.05,5,91.49
Bang Bon,4/2/2025,16:00,30.3,43,9.7,0,1008,108.59,17.82,29.8,1228.33,226.02,5,83.54
Bang Bon,4/2/2025,17:00,30.2,44,9.7,0,1008,116.66,29.47,29.8,1455.31,167.37,5,85.32
Bang Bon,4/2/2025,18:00,28.6,52,12.6,0,1008,141.62,51.41,33.38,1976.01,103,5,97.25
Bang Bon,4/2/2025,19:00,26.9,58,13.3,0,1009,166.66,69.92,37.19,2429.96,60.08,5,108.77
Bang Bon,4/2/2025,20:00,26.6,61,12.2,0,1010,193.33,89.11,41.49,2803.8,34.33,5,123.28
Bang Bon,4/2/2025,21:00,26.4,64,11.2,0,1010,212.74,87.05,32.9,2964.02,20.03,5,132.37
Bang Bon,4/2/2025,22:00,26,69,11.9,0,1010,222.39,65.8,20.5,2750.4,16.63,5,135.38
Bang Bon,4/2/2025,23:00,25.7,72,11.5,0,1010,222.55,46.61,12.76,2456.67,16.27,5,136.34
Bang Bon,3/2/2025,0:00,25.2,77,16.2,0,1008,56.8,10.88,3.99,600.81,46.49,3,46.34
Bang Bon,3/2/2025,1:00,25,79,14.4,0,1008,58.4,12.34,5.13,614.17,42.2,3,46.87
Bang Bon,3/2/2025,2:00,24.7,81,14.4,0,1008,59.44,12.51,5.78,614.17,41.48,3,46.94
Bang Bon,3/2/2025,3:00,24.6,82,13.3,0,1007,57.75,12.34,6.14,594.14,45.06,3,45.49
Bang Bon,3/2/2025,4:00,24.5,82,11.5,0,1007,57.39,13.02,6.79,594.14,47.92,3,44.65
Bang Bon,3/2/2025,5:00,24.4,83,11.5,0,1008,60.26,16.11,7.87,634.19,43.99,3,45.09
Bang Bon,3/2/2025,6:00,24.4,84,13,0,1008,67.02,24.33,9.78,761.03,34.33,3,47.76
Bang Bon,3/2/2025,7:00,24.6,85,14.4,0,1009,82.49,47.98,14.19,1188.28,13.23,4,56.08
Bang Bon,3/2/2025,8:00,26,78,15.5,0,1010,104.39,67.86,20.5,2029.42,1.99,4,67.89
Bang Bon,3/2/2025,9:00,27.1,71,15.8,0,1011,110.27,62.38,22.65,2349.85,10.19,4,70.52
Bang Bon,3/2/2025,10:00,28,65,14.4,0,1012,104.68,57.58,24.32,1949.31,37.91,4,66.3
Bang Bon,3/2/2025,11:00,28.6,63,15.5,0,1011,77.48,26.39,19.79,921.25,107.29,4,53
Bang Bon,3/2/2025,12:00,28.7,63,14.8,0,1010,73.15,14.74,15.5,754.36,147.34,4,54.18
Bang Bon,3/2/2025,13:00,29.3,60,13.7,0,1009,74.68,10.37,13.83,720.98,170.23,4,57.87
Bang Bon,3/2/2025,14:00,29.6,57,14.4,0,1008,81.36,8.05,12.4,707.63,183.11,5,64.93
Bang Bon,3/2/2025,15:00,29.6,55,13.7,0,1007,89.05,8.4,13.35,754.36,191.69,5,71.26
Bang Bon,3/2/2025,16:00,29.5,53,14,0,1006,95.82,9.77,15.5,827.79,197.41,5,76.83
Bang Bon,3/2/2025,17:00,29.1,53,13.3,0,1007,85.51,23.65,14.19,1001.36,125.89,4,66.03
Bang Bon,3/2/2025,18:00,27.7,61,13.3,0,1007,72.4,38.39,12.28,1134.87,49.35,4,53.15
Bang Bon,3/2/2025,19:00,26.5,70,13.7,0,1008,69.22,41.81,11.56,1148.22,20.21,3,49.14
Bang Bon,3/2/2025,20:00,26.2,73,15.8,0,1008,74.98,45.24,12.76,1255.04,6.79,4,52.07
Bang Bon,3/2/2025,21:00,25.9,75,16.2,0,1009,82.21,43.18,12.87,1335.14,1.36,4,56.37
Bang Bon,3/2/2025,22:00,25.7,76,15.8,0,1010,85.99,38.04,12.16,1335.14,0.66,4,58.53
Bang Bon,3/2/2025,23:00,25.5,76,14.8,0,1010,82.62,34.96,10.97,1255.04,0.76,4,56.46
Bang Bon,2/2/2025,0:00,24.6,74,15.1,0,1009,60.28,14.74,4.95,694.27,71.53,3,47.29
Bang Bon,2/2/2025,1:00,24.5,72,13,0,1008,59.97,13.54,5.13,667.57,70.81,3,47.33
Bang Bon,2/2/2025,2:00,24.2,73,11.2,0,1008,61.75,12.85,5.3,660.9,68.66,3,48.51
Bang Bon,2/2/2025,3:00,23.9,72,9,0,1008,62.94,14.05,5.72,674.25,65.09,3,49.33
Bang Bon,2/2/2025,4:00,23.6,72,6.1,0,1007,63.29,15.94,6.62,687.6,64.37,3,49.63
Bang Bon,2/2/2025,5:00,23.5,72,6.8,0,1008,66.4,20.56,9.89,747.68,62.23,4,51.2
Bang Bon,2/2/2025,6:00,23.5,73,6.8,0,1008,76.09,31.87,15.97,921.25,52.93,4,56.39
Bang Bon,2/2/2025,7:00,23.5,74,5.8,0,1009,102.07,65.8,27.66,1548.77,20.38,4,73.27
Bang Bon,2/2/2025,8:00,25.1,69,9,0,1010,146.86,93.22,47.68,2990.72,1.1,5,102.96
Bang Bon,2/2/2025,9:00,26.7,64,10.4,0,1011,183.59,108.3,60.56,4272.46,6.88,5,126.52
Bang Bon,2/2/2025,10:00,27.7,60,12.6,0,1011,200.71,135.72,57.7,4325.87,33.62,5,137.62
Bang Bon,2/2/2025,11:00,28.4,58,13.7,0,1011,178.56,32.9,27.89,1441.96,208.85,5,140.84
Bang Bon,2/2/2025,12:00,28.8,57,14.4,0,1010,173.67,10.62,19.79,1148.22,257.49,5,143.47
Bang Bon,2/2/2025,13:00,29.3,55,14,0,1008,163.74,7.54,18.12,1054.76,260.35,5,135.82
Bang Bon,2/2/2025,14:00,29.5,55,16.6,0,1007,148.18,6.77,15.26,961.3,246.05,5,122.6
Bang Bon,2/2/2025,15:00,29.4,55,15.5,0,1006,141.35,7.11,13.35,894.55,228.88,5,116.6
Bang Bon,2/2/2025,16:00,29.1,55,15.1,0,1006,143.09,7.71,12.52,881.2,217.44,5,118.48
Bang Bon,2/2/2025,17:00,28.4,57,14.8,0,1005,110.11,18.51,11.21,947.95,145.91,5,90.5
Bang Bon,2/2/2025,18:00,27.1,65,15.5,0,1006,75.31,28.1,9.54,947.95,80.11,4,61.23
Bang Bon,2/2/2025,19:00,26,72,13.7,0,1006,64.6,28.1,7.99,854.49,61.51,4,52.38
Bang Bon,2/2/2025,20:00,25.9,76,16.9,0,1007,63.95,24.68,7.27,781.06,57.94,4,51.8
Bang Bon,2/2/2025,21:00,25.7,80,20.9,0,1008,62.89,19.02,6.02,687.6,56.51,4,51.04
Bang Bon,2/2/2025,22:00,25.6,81,21.2,0,1008,61.15,13.88,4.83,627.52,54.36,3,49.62
Bang Bon,2/2/2025,23:00,25.6,81,19.4,0,1008,58.34,11.14,4.17,600.81,52.93,3,47.53
Bang Bon,1/2/2025,0:00,24.2,66,13.7,0,1009,76.98,38.04,9.3,1108.17,58.65,4,58.03
Bang Bon,1/2/2025,1:00,24,61,9,0,1009,72.09,25.36,7.21,881.2,64.37,4,54.93
Bang Bon,1/2/2025,2:00,23.9,58,5.4,0,1008,69.09,15.59,5.9,720.98,68.66,4,53.5
Bang Bon,1/2/2025,3:00,23.9,58,5.4,0,1007,70.43,15.25,6.26,720.98,62.94,4,54.49
Bang Bon,1/2/2025,4:00,23.9,60,6.8,0,1007,72.64,17.82,7.63,754.36,57.94,4,55.74
Bang Bon,1/2/2025,5:00,23.8,63,6.1,0,1008,77.65,23.65,11.8,841.14,54.36,4,58.28
Bang Bon,1/2/2025,6:00,23.7,65,6.1,0,1008,88.2,35.3,17.88,1028.06,41.48,4,63.67
Bang Bon,1/2/2025,7:00,23.6,67,6.1,0,1010,110.95,61.69,28.13,1575.47,10.64,5,77.33
Bang Bon,1/2/2025,8:00,24.9,64,6.5,0,1011,149.74,78.14,51.5,2937.32,1.02,5,103.61
Bang Bon,1/2/2025,9:00,26.5,60,9.7,0,1012,191.78,97.33,76.29,4379.27,6.44,5,134
Bang Bon,1/2/2025,10:00,27.5,57,13,0,1012,233.25,148.06,87.74,5180.36,29.33,5,167.64
Bang Bon,1/2/2025,11:00,28.2,55,14.4,0,1011,177.59,33.24,36.24,1562.12,208.85,5,135.53
Bang Bon,1/2/2025,12:00,28.6,53,15.5,0,1010,170.56,12,26.23,1241.68,263.21,5,136.47
Bang Bon,1/2/2025,13:00,29,51,15.1,0,1009,183.77,9.6,28.85,1295.09,291.82,5,148.73
Bang Bon,1/2/2025,14:00,29.2,49,15.5,0,1008,185.08,8.74,29.09,1268.39,297.55,5,150.91
Bang Bon,1/2/2025,15:00,29.1,50,16.6,0,1007,181.02,8.57,26.94,1201.63,286.1,5,149.14
Bang Bon,1/2/2025,16:00,28.8,51,16.2,0,1006,183.83,8.57,25.75,1201.63,277.52,5,153.7
Bang Bon,1/2/2025,17:00,28,54,15.8,0,1007,132.92,18.34,16.45,1134.87,185.97,5,109.72
Bang Bon,1/2/2025,18:00,26.8,61,12.6,0,1007,104.1,26.73,10.01,1081.47,118.73,5,83.73
Bang Bon,1/2/2025,19:00,25.7,69,12.6,0,1007,104.59,26.05,8.11,1041.41,107.29,5,82.51
Bang Bon,1/2/2025,20:00,25.4,72,14.8,0,1008,101,23.99,7.45,974.66,103,5,78.79
Bang Bon,1/2/2025,21:00,25.3,75,16.2,0,1009,87.57,20.05,6.62,854.49,94.41,4,67.69
Bang Bon,1/2/2025,22:00,25.2,77,18.7,0,1009,73.48,16.96,5.78,761.03,82.25,4,56.67
Bang Bon,1/2/2025,23:00,25.2,74,16.2,0,1009,64.6,15.42,5.19,714.3,75.1,4,50.08
Bang Bon,31/1/2025,0:00,24.1,61,9.4,0,1011,196.67,119.27,45.3,3044.13,1.68,5,134.71
Bang Bon,31/1/2025,1:00,23.7,62,9.4,0,1010,189.6,117.9,43.87,2937.32,1.83,5,129.07
Bang Bon,31/1/2025,2:00,23.3,63,7.2,0,1010,165.93,98.71,35.29,2403.26,11.62,5,113.33
Bang Bon,31/1/2025,3:00,22.9,64,5.4,0,1009,151.39,80.88,32.42,2002.72,24.32,5,105.28
Bang Bon,31/1/2025,4:00,22.2,60,7.6,0,1010,161.51,87.74,37.67,2109.53,18.95,5,112.62
Bang Bon,31/1/2025,5:00,22,60,7.9,0,1010,202.59,116.53,55.31,2910.61,1.22,5,140.73
Bang Bon,31/1/2025,6:00,21.7,60,8.6,0,1011,265.45,137.09,81.06,4165.65,0,5,186
Bang Bon,31/1/2025,7:00,21.6,60,7.6,0,1012,347.7,152.17,110.63,6034.85,0,5,248.78
Bang Bon,31/1/2025,8:00,23.2,55,5.4,0,1012,479.98,168.62,123.98,9719.85,0.38,5,350.41
Bang Bon,31/1/2025,9:00,25.2,49,2.5,0,1013,595.61,189.19,116.35,13351.44,2.35,5,441.9
Bang Bon,31/1/2025,10:00,26.9,46,2.5,0,1014,678.07,274.18,120.16,15380.86,7.15,5,515.1
Bang Bon,31/1/2025,11:00,27.9,44,4.3,0,1013,406.67,183.7,127.79,4753.11,220.3,5,306.55
Bang Bon,31/1/2025,12:00,28.4,43,7.6,0,1012,317.77,58.95,71.53,2750.4,351.91,5,257.74
Bang Bon,31/1/2025,13:00,28.6,44,11.9,0,1010,336.7,25.02,59.13,2483.37,400.54,5,280.39
Bang Bon,31/1/2025,14:00,28.7,45,14.4,0,1009,355.68,15.08,55.79,2429.96,411.99,5,298.43
Bang Bon,31/1/2025,15:00,28.7,45,14.8,0,1008,356.38,13.71,54.36,2349.85,406.27,5,301.44
Bang Bon,31/1/2025,16:00,28.7,45,13.3,0,1007,326.86,14.05,50.54,2162.93,389.1,5,277.5
Bang Bon,31/1/2025,17:00,28.3,47,14,0,1007,263.58,30.16,37.19,2109.53,326.16,5,222.18
Bang Bon,31/1/2025,18:00,27,54,14,0,1008,186.89,45.24,24.08,1976.01,231.74,5,154.57
Bang Bon,31/1/2025,19:00,25.9,61,14.8,0,1008,137.8,47.3,16.93,1695.63,160.22,5,112.2
Bang Bon,31/1/2025,20:00,25.6,64,14.8,0,1009,109.43,51.41,14.9,1575.47,111.58,5,86.85
Bang Bon,31/1/2025,21:00,25.4,68,19.4,0,1010,95.85,52.09,13.71,1508.71,80.11,4,73.99
Bang Bon,31/1/2025,22:00,25,71,19.8,0,1010,88.87,49.35,12.64,1401.9,65.09,4,66.97
Bang Bon,31/1/2025,23:00,24.6,70,18.4,0,1010,83.45,45.24,11.32,1281.74,58.65,4,62.37
Bang Kapi,6/2/2025,0:00,26.9,72,17.3,0,1010,188.18,113.79,98.23,3471.38,0,5,128.98
Bang Kapi,6/2/2025,1:00,26.7,72,14.8,0,1009,185.93,109.67,89.65,3097.53,0,5,130.63
Bang Kapi,6/2/2025,2:00,26.5,74,13,0,1009,184.26,104.19,83.92,2937.32,0,5,130.88
Bang Kapi,6/2/2025,3:00,26.3,76,13,0,1009,189.54,100.08,82.97,3070.83,0,5,133.32
Bang Kapi,6/2/2025,4:00,26.2,76,11.9,0,1008,208.85,101.45,89.65,3471.38,0,5,143.86
Bang Kapi,6/2/2025,5:00,26,77,10.8,0,1009,244.56,106.93,99.18,4112.24,0,5,166.57
Bang Kapi,6/2/2025,6:00,25.9,77,10.4,0,1009,287.84,111.04,99.18,4966.74,0,5,194.87
Bang Kapi,6/2/2025,7:00,25.7,78,10.4,0,1010,336.8,112.41,94.41,6355.29,0,5,226
Bang Kapi,6/2/2025,8:00,26.7,72,12.2,0,1011,338.02,104.19,81.06,7476.81,0.26,5,219.82
Bang Kapi,6/2/2025,9:00,28.5,61,12.6,0,1012,320.65,104.19,82.02,8117.68,2.21,5,200.89
Bang Kapi,6/2/2025,10:00,30.3,52,12.6,0,1012,339.16,145.32,100.14,8224.49,8.58,5,205.62
Bang Kapi,6/2/2025,11:00,31.7,46,13.7,0,1011,176.08,94.59,63.9,2536.77,105.86,5,105.62
Bang Kapi,6/2/2025,12:00,32.7,42,13.3,0,1010,131.33,54.84,48.16,1789.09,180.24,5,90.19
Bang Kapi,6/2/2025,13:00,33.6,38,14.4,0,1009,129.14,43.87,44.82,1668.93,228.88,5,92.9
Bang Kapi,6/2/2025,14:00,33.9,37,16.6,0,1007,136.08,48.67,49.59,1789.09,248.91,5,101.3
Bang Kapi,6/2/2025,15:00,33.9,37,19.4,0,1006,142.3,57.58,56.74,1949.31,240.33,5,107.06
Bang Kapi,6/2/2025,16:00,33.1,38,19.4,0,1006,138.3,65.12,59.61,2029.42,214.58,5,102.62
Bang Kapi,6/2/2025,17:00,32.2,41,17.3,0,1006,144.49,98.71,76.29,2616.88,147.34,5,103.67
Bang Kapi,6/2/2025,18:00,30.4,49,16.9,0,1006,150.43,148.06,99.18,3471.38,40.05,5,101.61
Bang Kapi,6/2/2025,19:00,29.2,56,15.5,0,1007,141.09,135.72,103,3631.59,0.23,5,90.27
Bang Kapi,6/2/2025,20:00,28,65,21.2,0,1008,148.52,105.56,107.77,3738.4,0,5,92.05
Bang Kapi,6/2/2025,21:00,27.5,70,22.3,0,1009,164.74,91.85,113.49,3952.03,0,5,100.73
Bang Kapi,6/2/2025,22:00,27.3,70,20.2,0,1009,168.7,87.74,109.67,3898.62,0,5,104.54
Bang Kapi,6/2/2025,23:00,27,72,19.4,0,1010,160.77,84.31,101.09,3685,0,5,100.11
Bang Kapi,5/2/2025,0:00,27.1,71,16.6,0,1010,260.48,131.61,96.32,4592.9,0,5,144.39
Bang Kapi,5/2/2025,1:00,26.7,74,14.4,0,1010,253.71,123.38,87.74,4165.65,0,5,141.81
Bang Kapi,5/2/2025,2:00,26.5,75,10.1,0,1010,252.91,117.9,87.74,3845.22,0,5,143.77
Bang Kapi,5/2/2025,3:00,26.4,75,7.9,0,1009,248.25,109.67,83.92,3524.78,0,5,141.49
Bang Kapi,5/2/2025,4:00,26.2,75,7.9,0,1009,233.23,95.96,73.43,3070.83,0,5,131.07
Bang Kapi,5/2/2025,5:00,26,76,7.9,0,1009,221.47,82.94,65.8,2750.4,0,5,121.34
Bang Kapi,5/2/2025,6:00,25.9,77,6.8,0,1010,224.54,76.08,70.57,2830.51,0,5,121.28
Bang Kapi,5/2/2025,7:00,25.9,78,7.6,0,1011,244.1,75.4,82.97,3524.78,0,5,134.63
Bang Kapi,5/2/2025,8:00,26.7,73,14,0,1012,250.3,75.4,82.02,4112.24,0.67,5,139.89
Bang Kapi,5/2/2025,9:00,27.8,63,15.8,0,1012,244.67,82.94,78.2,4058.84,7.33,5,141.2
Bang Kapi,5/2/2025,10:00,29.3,48,16.2,0,1013,246.91,101.45,76.29,3471.38,41.84,5,151.91
Bang Kapi,5/2/2025,11:00,30.8,39,14.4,0,1012,130.48,43.18,32.42,1535.42,144.48,5,95.49
Bang Kapi,5/2/2025,12:00,32.3,34,12.2,0,1011,114.18,32.22,27.66,1308.44,175.95,5,88.08
Bang Kapi,5/2/2025,13:00,33.4,31,9.4,0,1009,113.02,30.16,26.7,1281.74,188.83,5,87.66
Bang Kapi,5/2/2025,14:00,34.3,29,9.4,0,1008,114.82,36.67,30.99,1388.55,185.97,5,89.04
Bang Kapi,5/2/2025,15:00,34.5,29,12.2,0,1007,116.17,45.93,36.72,1495.36,173.09,5,87.64
Bang Kapi,5/2/2025,16:00,34.1,30,15.8,0,1006,117.03,54.84,40.53,1602.17,153.07,5,85.07
Bang Kapi,5/2/2025,17:00,33.1,34,17.3,0,1006,123.86,73.34,47.68,1895.91,124.45,5,86.8
Bang Kapi,5/2/2025,18:00,31.5,38,15.1,0,1007,139.67,100.08,60.08,2349.85,87.26,5,93.74
Bang Kapi,5/2/2025,19:00,30.5,41,11.9,0,1007,156.59,119.27,73.43,2670.29,55.79,5,104.09
Bang Kapi,5/2/2025,20:00,29.3,52,18,0,1008,207.71,167.25,107.77,3685,10.55,5,133.2
Bang Kapi,5/2/2025,21:00,27.6,69,22,0,1009,261.72,186.44,148.77,4859.92,0,5,163.7
Bang Kapi,5/2/2025,22:00,27.3,71,20.5,0,1009,253.06,161.77,148.77,4913.33,0,5,161.27
Bang Kapi,5/2/2025,23:00,27.1,72,18.7,0,1009,210.78,127.49,120.16,4112.24,0,5,139.15
Bang Kapi,4/2/2025,0:00,27.1,66,15.5,0,1010,248.64,104.19,118.26,5714.42,0,5,165.17
Bang Kapi,4/2/2025,1:00,26.8,69,15.1,0,1009,232.24,93.22,102.04,4966.74,0,5,149.38
Bang Kapi,4/2/2025,2:00,26.5,71,14,0,1009,212.65,82.94,88.69,4165.65,0,5,132.35
Bang Kapi,4/2/2025,3:00,26.2,74,14.4,0,1009,189.63,72.66,81.06,3364.56,0,5,114.82
Bang Kapi,4/2/2025,4:00,26.1,76,13,0,1009,171.16,65.8,76.29,2803.8,0,5,100.02
Bang Kapi,4/2/2025,5:00,25.9,77,11.9,0,1010,163.82,62.38,77.25,2563.48,0,5,92.71
Bang Kapi,4/2/2025,6:00,25.7,77,9.7,0,1011,176.3,59.63,81.06,2723.69,0,5,94.15
Bang Kapi,4/2/2025,7:00,25.5,73,9.7,0,1012,204.18,56.89,82.97,3311.16,0,5,102.85
Bang Kapi,4/2/2025,8:00,26.1,66,13,0,1013,206.08,52.09,70.57,3631.59,0.43,5,98.93
Bang Kapi,4/2/2025,9:00,27.4,60,14.8,0,1014,190.85,52.78,65.8,3471.38,3.89,5,100.43
Bang Kapi,4/2/2025,10:00,29.1,48,14,0,1014,186.54,73.34,66.76,2964.02,19.31,5,107.23
Bang Kapi,4/2/2025,11:00,30.6,39,13.3,0,1014,92.25,43.53,33.85,1441.96,80.11,4,57.68
Bang Kapi,4/2/2025,12:00,31.9,35,12.6,0,1013,76.29,31.19,27.18,1161.58,123.02,4,51.32
Bang Kapi,4/2/2025,13:00,32.9,31,11.9,0,1011,79.35,26.05,23.84,1108.17,151.63,4,57.1
Bang Kapi,4/2/2025,14:00,33.7,29,10.1,0,1010,79.47,28.79,24.08,1134.87,153.07,4,59.35
Bang Kapi,4/2/2025,15:00,34.2,28,9,0,1008,81.33,33.93,25.75,1188.28,140.19,4,60.53
Bang Kapi,4/2/2025,16:00,34.4,28,7.9,0,1007,80,38.04,25.03,1201.63,124.45,4,58.72
